timestamp_s,accel_x_g,accel_y_g,accel_z_g,speed_kmh,gps_lat,gps_lon,gps_speed_kmh
0.64,0.13413,0.03605,0.01256,0.9,,,
0.65,0.15496,0.03074,0.00144,1.09,,,
0.66,0.1752,0.03366,0.00934,0.68,,,
0.67,0.16851,0.03216,0.003,1.02,,,
0.68,0.15529,0.03649,-0.00272,0.85,,,
0.6900000000000001,0.15316,0.03215,0.00473,0.57,,,
0.7000000000000001,0.14049,0.03201,0.00505,0.9,,,
0.71,0.11453,0.03675,0.00553,1.27,,,
0.72,0.14386,0.03435,0.01154,0.82,,,
0.73,0.16237,0.03136,0.01635,1.33,,,
0.74,0.1609,0.0315,0.00335,0.09,,,
0.75,0.15495,0.0322,-0.01474,1.15,,,
0.76,0.13651,0.03813,0.00674,0.95,,,
0.77,0.14209,0.03666,-0.00134,0.86,,,
0.78,0.13595,0.03255,-0.01194,1.0,,,
0.79,0.15098,0.03236,0.00563,0.41,,,
0.8,0.13343,0.0303,0.00303,0.96,,,
0.81,0.12338,0.03228,-0.00675,1.16,,,
0.8200000000000001,0.12693,0.03412,-0.01054,1.52,,,
0.8300000000000001,0.15885,0.03139,0.01055,0.95,,,
0.84,0.19423,0.04411,0.00443,0.89,,,
0.85,0.18486,0.03764,-0.00638,1.01,,,
0.86,0.13893,0.03456,0.00298,1.46,,,
0.87,0.09972,0.0353,-0.00413,1.31,,,
0.88,0.09653,0.02985,0.00617,1.08,,,
0.89,0.15182,0.03068,0.00423,1.42,,,
0.9,0.18172,0.0401,-0.02095,1.33,,,
0.91,0.19839,0.04089,0.00118,1.62,,,
0.92,0.17774,0.02559,-0.00108,1.15,,,
0.93,0.16518,0.03621,-0.00827,1.29,,,
0.9400000000000001,0.15884,0.04001,-0.01222,1.3,,,
0.9500000000000001,0.17948,0.03372,0.00019,1.01,,,
0.96,0.20686,0.04208,0.00224,1.56,,,
0.97,0.21172,0.03906,0.00607,1.58,,,
0.98,0.22777,0.03695,-0.00311,1.54,,,
0.99,0.15259,0.03342,3e-05,1.5,,,
1.0,0.16749,0.03466,0.00213,1.17,59.3326846,18.0649131,0.0
1.01,0.23217,0.03236,-0.00598,1.5,,,
1.02,0.21036,0.03561,-0.00947,1.56,,,
1.03,0.19863,0.03597,0.01848,1.45,,,
1.04,0.19921,0.0336,-0.00011,1.68,,,
1.05,0.16722,0.02746,-0.00258,1.88,,,
1.06,0.19877,0.0341,0.01231,2.36,,,
1.07,0.21377,0.03072,0.01712,1.88,,,
1.08,0.20825,0.03059,0.01109,1.94,,,
1.09,0.16954,0.03255,-0.00462,1.87,,,
1.1,0.16347,0.03833,0.00362,1.35,,,
1.11,0.2026,0.0301,0.00689,1.96,,,
1.12,0.19164,0.03097,0.01811,2.02,,,
1.1300000000000001,0.19463,0.03815,0.00219,2.77,,,
1.1400000000000001,0.19986,0.03264,0.00262,2.01,,,
1.1500000000000001,0.18437,0.0308,-0.00916,2.2,,,
1.16,0.2122,0.03779,-0.00855,2.13,,,
1.17,0.21376,0.03421,0.01338,1.83,,,
1.18,0.17523,0.03589,0.00116,2.56,,,
1.19,0.17693,0.03488,-0.00367,2.48,,,
1.2,0.17983,0.03624,0.00466,2.53,,,
1.21,0.20416,0.03631,0.01076,2.05,,,
1.22,0.21276,0.03292,0.01307,2.79,,,
1.23,0.18132,0.0291,0.00607,1.98,,,
1.24,0.17063,0.03722,-0.00047,2.62,,,
1.25,0.16792,0.03359,0.00014,3.14,,,
1.26,0.17015,0.03707,0.0052,2.22,,,
1.27,0.18186,0.03011,-0.00927,2.39,,,
1.28,0.16409,0.03391,-0.00707,2.63,,,
1.29,0.17678,0.03024,0.0021,2.49,,,
1.3,0.18188,0.03888,0.00091,2.21,,,
1.31,0.19342,0.0399,0.00631,2.74,,,
1.32,0.23382,0.03266,0.00016,2.44,,,
1.33,0.21028,0.03414,-0.00398,2.94,,,
1.34,0.21646,0.03201,0.00602,2.57,,,
1.35,0.18184,0.03239,0.0104,3.35,,,
1.36,0.15364,0.03786,0.00017,2.69,,,
1.37,0.19541,0.03315,-0.01648,2.87,,,
1.3800000000000001,0.23722,0.03675,-0.00333,3.25,,,
1.3900000000000001,0.22343,0.03421,-0.01741,2.68,,,
1.4000000000000001,0.19896,0.03708,0.00323,3.16,,,
1.41,0.19186,0.03328,-0.0086,3.53,,,
1.42,0.20346,0.03994,-0.00168,2.7,,,
1.43,0.24367,0.04349,0.00015,3.28,,,
1.44,0.27943,0.02863,-0.00372,3.35,,,
1.45,0.27573,0.03403,0.01274,3.55,,,
1.46,0.24216,0.03358,0.0022,2.99,,,
1.47,0.24139,0.03119,-0.01049,3.01,,,
1.48,0.21025,0.03564,0.01083,3.6,,,
1.49,0.19218,0.03845,0.01076,3.58,,,
1.5,0.26351,0.0269,0.0094,3.61,,,
1.51,0.23708,0.02814,0.00134,3.69,,,
1.52,0.21655,0.04308,0.00097,3.43,,,
1.53,0.22398,0.03416,-0.00846,3.75,,,
1.54,0.20961,0.03442,0.01055,3.81,,,
1.55,0.24199,0.03027,0.00366,3.56,,,
1.56,0.2544,0.03525,0.00237,4.38,,,
1.57,0.24261,0.04037,0.00573,4.01,,,
1.58,0.23008,0.03696,0.004,3.56,,,
1.59,0.23434,0.03616,0.00685,4.16,,,
1.6,0.23315,0.02805,0.00586,3.72,,,
1.61,0.24512,0.03793,-0.00118,4.3,,,
1.62,0.23943,0.03566,-0.01646,4.46,,,
1.6300000000000001,0.27364,0.0332,0.00151,3.91,,,
1.6400000000000001,0.2527,0.03696,-0.00584,4.5,,,
1.6500000000000001,0.21044,0.03021,0.00214,4.38,,,
1.6600000000000001,0.24126,0.03705,-0.00073,4.55,,,
1.67,0.24458,0.04131,0.00544,4.93,,,
1.68,0.22437,0.03624,0.00897,4.33,,,
1.69,0.22621,0.03204,-0.00568,4.23,,,
1.7,0.25157,0.03087,-0.01742,4.24,,,
1.71,0.22263,0.03564,-0.00718,4.31,,,
1.72,0.18498,0.03279,0.01563,4.59,,,
1.73,0.21006,0.04306,0.01369,4.76,,,
1.74,0.23726,0.02778,-0.01024,4.8,,,
1.75,0.20111,0.03527,-0.00473,5.01,,,
1.76,0.19947,0.03948,0.01015,4.82,,,
1.77,0.18728,0.03865,0.01905,5.31,,,
1.78,0.22321,0.03226,0.00324,4.85,,,
1.79,0.2686,0.03715,-0.00115,5.79,,,
1.8,0.21668,0.03635,-0.00512,5.22,,,
1.81,0.2226,0.03887,-0.00431,4.83,,,
1.82,0.23364,0.03419,0.00849,4.82,,,
1.83,0.1719,0.03428,0.00463,5.34,,,
1.84,0.18114,0.03582,0.00288,5.18,,,
1.85,0.23206,0.02894,-0.02028,5.52,,,
1.86,0.22752,0.03707,0.01138,5.5,,,
1.87,0.2571,0.03405,0.01541,5.39,,,
1.8800000000000001,0.25026,0.03791,-0.00637,5.21,,,
1.8900000000000001,0.24604,0.03283,-0.00319,5.07,,,
1.9000000000000001,0.27963,0.04414,0.01947,5.45,,,
1.9100000000000001,0.28948,0.03947,0.02519,5.89,,,
1.92,0.31287,0.03832,-0.02648,5.76,,,
1.93,0.29388,0.03195,-0.00254,5.37,,,
1.94,0.22277,0.03529,0.0179,5.86,,,
1.95,0.25402,0.03235,0.02293,5.98,,,
1.96,0.26044,0.02855,0.0032,5.65,,,
1.97,0.26105,0.03323,-0.00725,6.02,,,
1.98,0.27047,0.03775,-0.01707,6.05,,,
1.99,0.24117,0.03306,-0.00138,5.75,,,
2.0,0.25605,0.0328,-0.01111,6.26,59.3327194,18.0649268,5.8
2.0100000000000002,0.28157,0.03286,-0.01667,6.38,,,
2.02,0.28967,0.04259,-0.01061,6.59,,,
2.0300000000000002,0.25515,0.03632,-0.00199,6.64,,,
2.04,0.2856,0.02903,-0.00108,5.97,,,
2.05,0.31748,0.03508,-0.01533,6.16,,,
2.06,0.2604,0.03681,-0.01025,6.66,,,
2.07,0.24293,0.03476,0.03816,6.72,,,
2.08,0.23469,0.03595,0.02354,6.78,,,
2.09,0.21225,0.03164,-0.00344,7.84,,,
2.1,0.27695,0.03189,-0.00391,6.92,,,
2.11,0.28848,0.03526,0.00372,7.15,,,
2.12,0.27051,0.02822,-0.00916,7.15,,,
2.13,0.25488,0.02498,-0.024,7.12,,,
2.14,0.23624,0.03926,0.0007,6.89,,,
2.15,0.24409,0.03897,0.00721,7.28,,,
2.16,0.24448,0.03692,-0.01434,6.88,,,
2.17,0.23872,0.03615,-0.03314,7.1,,,
2.18,0.24558,0.03458,0.01669,7.09,,,
2.19,0.25134,0.04672,0.01653,7.32,,,
2.2,0.25621,0.03277,0.00622,8.06,,,
2.21,0.25439,0.04244,0.02113,6.86,,,
2.22,0.21303,0.0433,0.01353,7.69,,,
2.23,0.22462,0.04033,0.00111,7.07,,,
2.24,0.23491,0.03815,-0.00355,7.47,,,
2.25,0.23018,0.03631,0.00985,8.0,,,
2.2600000000000002,0.20895,0.03162,-0.00607,7.76,,,
2.27,0.23622,0.03426,-0.01698,7.48,,,
2.2800000000000002,0.29422,0.03522,0.00052,7.66,,,
2.29,0.27426,0.02801,0.01215,8.14,,,
2.3000000000000003,0.2121,0.04554,0.00215,7.78,,,
2.31,0.24268,0.03444,-0.00474,8.13,,,
2.32,0.26941,0.02603,0.00056,8.14,,,
2.33,0.23677,0.03399,-0.01076,8.0,,,
2.34,0.31726,0.03026,-0.00863,8.9,,,
2.35,0.34276,0.03674,0.00593,8.52,,,
2.36,0.33847,0.03554,0.01385,7.78,,,
2.37,0.34897,0.03348,0.00701,8.51,,,
2.38,0.29605,0.03593,0.01078,8.32,,,
2.39,0.27358,0.03073,-0.00396,8.85,,,
2.4,0.2589,0.03507,-0.00952,8.42,,,
2.41,0.25815,0.04071,-0.01011,8.69,,,
2.42,0.27844,0.03722,-0.01122,8.94,,,
2.43,0.26792,0.03071,-0.0159,9.12,,,
2.44,0.26743,0.03466,0.01571,8.56,,,
2.45,0.32029,0.02543,0.02581,8.89,,,
2.46,0.28905,0.02778,0.00217,8.92,,,
2.47,0.23003,0.03715,0.00892,8.93,,,
2.48,0.27205,0.03934,0.00575,9.73,,,
2.49,0.25614,0.03995,-0.00968,9.39,,,
2.5,0.2652,0.02811,0.00635,8.95,,,
2.5100000000000002,0.30776,0.04256,0.00443,9.68,,,
2.52,0.28228,0.02943,-0.00765,10.11,,,
2.5300000000000002,0.25935,0.03322,-0.00488,9.85,,,
2.54,0.26004,0.02957,0.00135,9.15,,,
2.5500000000000003,0.26113,0.03291,0.01098,9.53,,,
2.56,0.2432,0.0361,-0.0068,10.13,,,
2.57,0.28801,0.04045,0.00456,9.61,,,
2.58,0.25755,0.04072,0.02135,10.02,,,
2.59,0.29921,0.04146,-0.00568,10.19,,,
2.6,0.34765,0.03533,-0.0138,9.75,,,
2.61,0.27215,0.04106,0.02454,10.08,,,
2.62,0.26816,0.02813,0.02137,9.2,,,
2.63,0.2923,0.02467,-0.01138,9.93,,,
2.64,0.29276,0.03221,-0.01404,10.23,,,
2.65,0.29021,0.0316,-0.01517,10.01,,,
2.66,0.28557,0.02786,0.00178,10.94,,,
2.67,0.2928,0.03356,-0.02291,10.09,,,
2.68,0.28332,0.04081,-0.00958,10.46,,,
2.69,0.28288,0.03848,0.02317,10.71,,,
2.7,0.25931,0.03363,0.02986,11.17,,,
2.71,0.26163,0.03817,0.00798,10.38,,,
2.72,0.26803,0.0431,0.01076,11.23,,,
2.73,0.2838,0.03395,-0.00384,10.96,,,
2.74,0.32351,0.03343,0.00173,10.73,,,
2.75,0.31545,0.03934,0.01783,11.24,,,
2.7600000000000002,0.29652,0.02767,-0.00657,11.23,,,
2.77,0.3276,0.02871,-0.01927,11.07,,,
2.7800000000000002,0.34053,0.02728,0.00809,11.34,,,
2.79,0.31655,0.03617,0.01109,11.28,,,
2.8000000000000003,0.27969,0.0295,-0.01432,11.5,,,
2.81,0.32606,0.03867,-0.00747,11.74,,,
2.82,0.34096,0.03364,0.00241,12.09,,,
2.83,0.32317,0.03897,0.00575,11.32,,,
2.84,0.34946,0.03092,0.00036,12.4,,,
2.85,0.31783,0.03937,-0.00514,11.25,,,
2.86,0.2929,0.04119,-0.00517,11.86,,,
2.87,0.25672,0.03575,-0.00175,12.16,,,
2.88,0.23827,0.033,-0.00781,12.14,,,
2.89,0.28368,0.03259,-0.01433,11.95,,,
2.9,0.28145,0.0348,-0.0091,12.15,,,
2.91,0.31968,0.04359,0.01527,12.14,,,
2.92,0.3276,0.04766,0.01446,12.18,,,
2.93,0.32202,0.03236,0.00399,12.69,,,
2.94,0.33423,0.03358,-0.00934,12.62,,,
2.95,0.33573,0.03726,-0.02361,12.38,,,
2.96,0.3203,0.02831,-0.02754,12.93,,,
2.97,0.28849,0.03978,-0.0119,12.83,,,
2.98,0.31878,0.03624,0.02434,13.06,,,
2.99,0.32305,0.02631,0.01281,13.08,,,
3.0,0.3113,0.02374,-0.01579,12.71,59.3327447,18.0649113,13.1
3.0100000000000002,0.30058,0.03569,0.0002,12.87,,,
3.02,0.30193,0.04406,-0.00245,13.34,,,
3.0300000000000002,0.29414,0.03556,-0.01461,13.38,,,
3.04,0.29965,0.03329,-0.01674,13.26,,,
3.0500000000000003,0.30032,0.04446,-0.01247,13.38,,,
3.06,0.33724,0.04126,0.01657,13.81,,,
3.0700000000000003,0.35705,0.03094,0.02157,13.32,,,
3.08,0.32528,0.02702,-0.00658,13.74,,,
3.09,0.32473,0.03555,-0.0231,13.59,,,
3.1,0.33686,0.02746,-4e-05,13.67,,,
3.11,0.29433,0.03444,0.02781,14.14,,,
3.12,0.28975,0.04435,0.02926,14.13,,,
3.13,0.28774,0.04197,-0.00343,14.21,,,
3.14,0.30329,0.04159,-0.03286,14.43,,,
3.15,0.29434,0.03476,-0.02856,14.13,,,
3.16,0.29661,0.02961,0.00599,14.4,,,
3.17,0.29625,0.03821,0.04721,14.18,,,
3.18,0.31239,0.03313,0.04299,14.45,,,
3.19,0.30316,0.03862,-0.00174,14.39,,,
3.2,0.30145,0.03288,-0.01318,14.54,,,
3.21,0.31144,0.04135,-0.00894,14.77,,,
3.22,0.29663,0.03553,-0.01478,14.42,,,
3.23,0.29611,0.04346,-0.02864,15.37,,,
3.24,0.31726,0.02999,-0.01593,14.52,,,
3.25,0.25461,0.02631,-0.00412,14.54,,,
3.2600000000000002,0.21962,0.02695,0.01325,15.33,,,
3.27,0.25234,0.02276,0.01132,15.3,,,
3.2800000000000002,0.29346,0.04101,-0.00431,15.33,,,
3.29,0.31052,0.04323,-0.00758,15.41,,,
3.3000000000000003,0.29859,0.04805,0.04617,15.3,,,
3.31,0.29974,0.04503,0.02823,15.11,,,
3.3200000000000003,0.29985,0.03621,0.00453,15.48,,,
3.33,0.28764,0.02996,0.00244,15.34,,,
3.34,0.26738,0.03537,0.01785,15.91,,,
3.35,0.22874,0.03103,0.00635,15.65,,,
3.36,0.2763,0.03515,-0.02337,15.53,,,
3.37,0.32004,0.03537,-0.02766,15.76,,,
3.38,0.31605,0.03473,-0.01168,16.06,,,
3.39,0.3256,0.03206,0.00708,15.85,,,
3.4,0.31923,0.03411,0.01438,15.85,,,
3.41,0.31936,0.02933,-0.01678,16.25,,,
3.42,0.31536,0.03837,-0.02858,16.33,,,
3.43,0.3201,0.03304,0.012,16.19,,,
3.44,0.32053,0.0358,0.01527,16.28,,,
3.45,0.31265,0.04014,-0.00901,16.57,,,
3.46,0.31736,0.03857,0.00489,16.15,,,
3.47,0.29613,0.0379,0.04276,16.24,,,
3.48,0.29859,0.02255,-0.01831,16.53,,,
3.49,0.32404,0.02522,-0.02243,16.76,,,
3.5,0.29313,0.04236,0.01075,17.0,,,
3.5100000000000002,0.30468,0.0442,0.00052,17.43,,,
3.52,0.3217,0.03262,-0.03542,17.32,,,
3.5300000000000002,0.34394,0.03411,-0.00977,17.1,,,
3.54,0.41404,0.04999,-0.00341,17.22,,,
3.5500000000000003,0.4013,0.05079,0.0274,17.01,,,
3.56,0.36935,0.03958,0.01784,17.38,,,
3.5700000000000003,0.34957,0.02247,0.02657,17.38,,,
3.58,0.34477,0.03417,-0.00098,17.65,,,
3.59,0.3537,0.03671,-0.01316,17.39,,,
3.6,0.35672,0.02884,-0.01576,17.87,,,
3.61,0.31473,0.02164,-0.03717,18.26,,,
3.62,0.29712,0.02385,-0.00375,17.85,,,
3.63,0.33503,0.04509,-0.01738,18.08,,,
3.64,0.33835,0.04446,-0.03251,18.25,,,
3.65,0.30157,0.04291,-0.01386,18.0,,,
3.66,0.31386,0.02337,0.04184,18.27,,,
3.67,0.33795,0.03199,0.0261,18.29,,,
3.68,0.30736,0.02645,0.02901,18.4,,,
3.69,0.3303,0.03473,0.03144,18.22,,,
3.7,0.35556,0.0404,0.01725,18.54,,,
3.71,0.32582,0.04564,-0.00912,18.76,,,
3.72,0.27394,0.04084,-0.01541,19.13,,,
3.73,0.25788,0.03839,0.00268,19.07,,,
3.74,0.29352,0.02964,-0.01111,19.51,,,
3.75,0.33125,0.04402,-0.01732,18.71,,,
3.7600000000000002,0.32253,0.03768,-0.00486,19.29,,,
3.77,0.32458,0.02818,-0.01598,19.16,,,
3.7800000000000002,0.32252,0.03115,-0.00745,19.84,,,
3.79,0.31714,0.04342,0.00675,19.03,,,
3.8000000000000003,0.31944,0.05386,0.00204,19.1,,,
3.81,0.33219,0.04298,0.02627,19.25,,,
3.8200000000000003,0.29523,0.02544,0.00908,18.88,,,
3.83,0.27687,0.02948,-0.04563,19.44,,,
3.84,0.27715,0.04013,-0.03094,19.45,,,
3.85,0.29773,0.03975,0.00855,19.81,,,
3.86,0.33946,0.04451,0.01027,19.95,,,
3.87,0.28546,0.04567,-0.00493,20.49,,,
3.88,0.26175,0.04581,0.01817,20.3,,,
3.89,0.32198,0.03988,0.01368,19.92,,,
3.9,0.32394,0.0369,-0.01308,19.91,,,
3.91,0.3212,0.03711,-0.01685,20.41,,,
3.92,0.31856,0.03196,-0.00492,19.94,,,
3.93,0.28442,0.03012,0.02738,20.97,,,
3.94,0.25453,0.02245,0.05729,20.86,,,
3.95,0.26084,0.03386,0.00665,20.45,,,
3.96,0.33214,0.03971,-0.04809,20.16,,,
3.97,0.34669,0.03956,-0.03652,21.16,,,
3.98,0.31822,0.02449,-0.01014,20.8,,,
3.99,0.34211,0.02577,0.00683,21.29,,,
4.0,0.37607,0.03029,-0.01441,20.52,59.3328134,18.0649737,20.7
4.01,0.38672,0.04909,-0.02172,20.9,,,
4.0200000000000005,0.35338,0.04962,-0.00667,21.17,,,
4.03,0.37645,0.04102,0.02158,21.26,,,
4.04,0.39096,0.03272,0.03411,21.19,,,
4.05,0.37568,0.03849,0.01349,21.6,,,
4.0600000000000005,0.3502,0.03584,-0.01593,21.17,,,
4.07,0.2716,0.03594,0.03318,21.53,,,
4.08,0.23797,0.03135,0.05274,21.7,,,
4.09,0.26958,0.03472,-0.03597,21.9,,,
4.1,0.29717,0.04836,-0.05565,22.04,,,
4.11,0.33302,0.03572,-0.01142,21.57,,,
4.12,0.40192,0.02652,0.03648,21.53,,,
4.13,0.40069,0.01455,0.00824,22.45,,,
4.14,0.3532,0.01477,-0.01117,22.25,,,
4.15,0.29263,0.02293,-0.01547,22.01,,,
4.16,0.32777,0.02497,0.01217,22.78,,,
4.17,0.32962,0.0235,-0.00317,22.44,,,
4.18,0.34132,0.03119,0.00926,22.84,,,
4.19,0.3604,0.03902,0.04015,22.59,,,
4.2,0.27919,0.05229,-0.00814,23.27,,,
4.21,0.24829,0.05591,-0.05314,23.26,,,
4.22,0.30114,0.04154,-0.00531,22.74,,,
4.23,0.34359,0.03389,0.06783,23.19,,,
4.24,0.33758,0.03034,0.01735,23.17,,,
4.25,0.27918,0.02372,-0.05549,23.47,,,
4.26,0.26233,0.02825,-0.05895,22.85,,,
4.2700000000000005,0.29805,0.03029,-0.00722,23.43,,,
4.28,0.28907,0.02564,-0.01214,23.62,,,
4.29,0.30846,0.02732,-0.00207,22.86,,,
4.3,0.33624,0.03578,-0.0156,23.11,,,
4.3100000000000005,0.32567,0.03126,0.03888,22.94,,,
4.32,0.27898,0.03342,0.0448,23.55,,,
4.33,0.28587,0.04121,-0.00582,23.93,,,
4.34,0.25912,0.04727,-0.02383,24.25,,,
4.3500000000000005,0.27328,0.04449,-0.00301,23.9,,,
4.36,0.29186,0.03381,-0.01883,24.45,,,
4.37,0.25019,0.03913,-0.01678,23.63,,,
4.38,0.28748,0.04267,0.00448,23.61,,,
4.39,0.32682,0.03425,0.00558,24.19,,,
4.4,0.27556,0.02993,-0.02896,24.4,,,
4.41,0.26621,0.03112,-0.00255,24.36,,,
4.42,0.27829,0.02337,0.00728,23.83,,,
4.43,0.28126,0.03057,0.02068,24.5,,,
4.44,0.31656,0.0414,-0.01958,24.22,,,
4.45,0.35892,0.0291,-0.06214,24.89,,,
4.46,0.39379,0.03024,-0.02816,24.88,,,
4.47,0.30144,0.03196,0.02922,24.57,,,
4.48,0.26015,0.05141,0.02483,24.78,,,
4.49,0.31059,0.04693,-0.01979,24.7,,,
4.5,0.3586,0.04678,0.00441,25.08,,,
4.51,0.35387,0.03469,0.05689,25.46,,,
4.5200000000000005,0.30829,0.02749,0.01429,24.96,,,
4.53,0.31817,0.023,-0.03546,25.49,,,
4.54,0.32738,0.02968,-0.03067,25.26,,,
4.55,0.33821,0.03363,0.00246,25.26,,,
4.5600000000000005,0.34542,0.03156,0.06084,25.55,,,
4.57,0.31661,0.02954,0.02416,25.35,,,
4.58,0.3035,0.02527,-0.02665,25.58,,,
4.59,0.34836,0.03463,-0.03214,25.46,,,
4.6000000000000005,0.37921,0.03908,-0.00761,26.49,,,
4.61,0.38075,0.03859,0.00403,25.99,,,
4.62,0.32532,0.0381,0.00101,25.85,,,
4.63,0.25629,0.03423,-0.00963,26.21,,,
4.64,0.29104,0.04118,-0.04152,26.19,,,
4.65,0.3117,0.03491,0.01721,26.24,,,
4.66,0.32945,0.03665,0.01814,26.57,,,
4.67,0.32666,0.04515,-0.02086,26.69,,,
4.68,0.33301,0.04316,-0.02348,26.38,,,
4.69,0.32701,0.03171,-0.0068,26.45,,,
4.7,0.35193,0.02685,0.00306,26.62,,,
4.71,0.34736,0.02589,0.04616,26.09,,,
4.72,0.32284,0.04002,0.03442,26.4,,,
4.73,0.33927,0.03831,-0.00968,27.35,,,
4.74,0.31702,0.03385,-0.05753,27.51,,,
4.75,0.27818,0.03732,-0.03317,27.02,,,
4.76,0.33331,0.03786,-0.00501,27.35,,,
4.7700000000000005,0.33523,0.03054,0.01552,27.35,,,
4.78,0.30073,0.02082,0.02182,28.26,,,
4.79,0.31008,0.03039,-0.02002,27.75,,,
4.8,0.29614,0.03717,0.00059,27.45,,,
4.8100000000000005,0.30605,0.04403,0.0048,27.28,,,
4.82,0.30605,0.03498,-0.01728,27.16,,,
4.83,0.30204,0.03181,0.01969,27.79,,,
4.84,0.26612,0.04087,0.02143,27.58,,,
4.8500000000000005,0.29306,0.04233,-0.04162,27.45,,,
4.86,0.3399,0.04189,0.01097,27.76,,,
4.87,0.33357,0.04364,0.06253,27.71,,,
4.88,0.32677,0.04087,0.0025,28.62,,,
4.89,0.31598,0.04594,-0.03276,28.46,,,
4.9,0.2948,0.04894,-0.00537,28.27,,,
4.91,0.30468,0.02806,0.02706,28.79,,,
4.92,0.29281,0.00715,0.03982,28.45,,,
4.93,0.24962,0.00465,0.01666,28.24,,,
4.94,0.29005,0.00867,-0.035,29.03,,,
4.95,0.29789,0.03718,-0.06874,28.82,,,
4.96,0.27656,0.05352,-0.00855,28.42,,,
4.97,0.25416,0.03547,0.00935,28.75,,,
4.98,0.27455,0.02558,0.0027,28.62,,,
4.99,0.33693,0.02801,0.0143,28.55,,,
5.0,0.32475,0.02771,0.03325,29.31,59.3328678,18.0651253,28.5
5.01,0.2785,0.04251,0.03896,29.69,,,
5.0200000000000005,0.25094,0.03085,-0.00139,28.77,,,
5.03,0.30994,0.03748,-0.03897,29.43,,,
5.04,0.34686,0.05041,-0.05381,29.14,,,
5.05,0.34962,0.06051,-0.01855,29.27,,,
5.0600000000000005,0.3101,0.0314,0.01776,29.31,,,
5.07,0.24366,0.01515,0.03415,29.31,,,
5.08,0.25305,0.03063,0.01178,29.66,,,
